PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC90 Modifier,IC90,IC50 Modifier,IC50,IC50 Std Dev Modifier,IC50 Std Dev,IC50 Hill Slope,IC50 Normalized Chi2,Percent Inhibition @ 100 uM,Percent Inhibition @ 50 uM,Percent Inhibition @ 25 uM,Percent Inhibition @ 12.5 uM,Percent Inhibition @ 6.25 uM,Percent Inhibition @ 3.13 uM,Percent Inhibition @ 1.56 uM,Percent Inhibition @ 0.78 uM,Percent Inhibition @ 0.39 uM,Percent Inhibition @ 0.20 uM,Maximum Inhibition,Concentration of Maximum Inhibition
1325,24820074,1489499,C1COCCN1C2=NC(=NC(=C2)CSC3=CC=C(C=C3)Cl)C4=CC=CC=N4,Active,78,,,,11.55,,6.68,,0.49,4.02,7.56,95.95,97.43,92.65,96.26,41.47,10.9,-14.32,-4.54,1.77,-9.61,97.43,50
1326,24820233,4298771,COC(=O)C1=CN=C(C=C1)N2C=NC3=CC=CC=C32,Active,74,,,,39.48,,17.71,,1.76,2.74,8.02,90.78,86.07,73.72,32.21,-8.04,0.23,-9.95,-3.14,-6.8,-3.38,90.78,100
1327,24820330,4637342,C1=CN(C(=C1)C(=O)N)C2=C(C=C(C=N2)C(F)(F)F)Cl,Active,75,,,,28.05,,14.42,,0.47,3.3,2.91,99.87,98.99,83.52,40.77,1.82,-3.57,2.84,-2.22,-1.66,2.35,99.87,100
1328,24820400,3611672,C1CN(C2(N1C(=O)C3=CC=CC=C32)C4=CC=C(C=C4)Cl)C(=O)CCl,Active,72,,,,32.12,,21.92,,5.02,5.75,20.85,100.08,98.76,67.97,5.26,-36.36,-12.08,-8.4,-41.6,-11.6,-8.09,100.08,100
1329,24820507,3847697,C1=CC=C(C=C1)C(=O)CCSC2=CC=CC=N2,Active,71,,,,34.12,,24.56,,1.53,6.68,9.46,99.96,99.86,52.93,1.68,-1.5,-1.87,1.43,-5.98,-24.82,-7.41,99.96,100
1330,24820600,1485783,CN1CCN(CC1)C2=CC=C(C=C2)C(=O)C3=CN(N=N3)C4=CC(=C(C=C4)F)Cl,Inactive,0,,,,,,,,,,,3.46,0.54,2.26,-0.45,7.77,-1.84,2.71,-35.07,-2.44,-1.34,7.77,6.25
1331,24820666,1489114,C1=CC(=NN2C1=NN=C2C(F)(F)Cl)Cl,Active,80,,,,0.8,,0.73,,779.78,25.41,3.34,100.04,99.94,100,99.92,99.9,99.67,97.16,83.58,-6.06,-6.64,100.04,100
1332,24820767,6184290,CC1=CC(=NC2=C(C(=NN12)/C(=C/C3=CC=CC=N3)/C#N)C#N)C,Active,73,,,,35.51,,19.36,,2.03,3.62,9.42,96.23,91.15,73.07,16.63,0.57,-24.77,3.76,2.39,-1.09,-4.53,96.23,100
1333,24820798,9559867,C1=CC(=CC=C1N2C=C(N=N2)/C=N/O)Cl,Inactive,0,,,,,,,,,,,-16.6,-5.83,-5.1,-3.92,-4.91,-7.69,-3.91,-7.69,-8.88,-8.59,-3.91,1.56
1334,24820964,6161366,C/C(=N\OC(=O)C1=CC=C(C=C1)F)/C2CC2C3=CC=C(C=C3)OC,Active,70,,,,52.24,,25.33,,2.01,3.04,6.87,98.57,81.44,54.8,2.79,3.41,-10.43,-2.08,0.81,-4.38,-9.51,98.57,100
1335,24821200,676527,CSC(=S)NCC1=CN=CC=C1,Active,69,,,,41.93,,29.07,,1.38,6,3.99,99.65,97.06,28.54,5.19,-4.52,-5.06,5.19,-3.76,4.2,0.87,99.65,100
1336,24821233,9607775,C1CN2C(CC(=O)C(C2=O)/C=N/OCC3=C(C=C(C=C3)Cl)Cl)C4=CC=CC=C41,Active,62,,,,49.37,,46.41,>,9999,35.54,10,98.93,93.6,-6.93,-3.81,-5.45,-14.96,-7.33,-18.63,-5.12,-7.43,98.93,100
1337,24821289,16413682,CNC(=S)/N=C/NOCC1=C(C=CC=C1Cl)Cl,Active,79,,,,3.35,,2.96,,68.34,17.83,6.02,99.39,99.71,99.53,98,89.37,72.39,-7.55,-1.12,-8.57,-6.36,99.71,50
1338,24821477,5899277,C1=CC(=CC=C1/C=C/C(=O)NC2=NC(=NC=C2)C3=CC=NC=C3)OCCCF,Inactive,0,,,,,,,,,,,-1.8,-2.01,19.24,-7.15,-2.93,-9.2,-4.8,-7.2,-5.83,-8.58,19.24,25
1339,24821718,1837418,C1CC2=C(C1)N=C3N=C(NN3C2=O)NCC4=CC=C(C=C4)Cl,Active,77,,,,14.35,,9.12,,0.87,4.85,8.68,90.83,94.54,95.96,81.89,15.17,-16.86,-4.52,-6.14,-0.49,-10.7,95.96,25
1340,24821768,3669383,C1C=CCC(C1C(=O)NNC2=CC=CC=C2)C(=O)O,Inactive,0,,,,,,,,,,,-1.55,-1.48,4.55,-6.5,-7.07,-2.56,-3.03,-6.16,-2.37,-8.26,4.55,25
1341,24821923,3516602,CCOC(=O)C(C)OC1=CC=C(C=C1)OCC2=CC=CC=C2,Active,77,,,,14.59,,9.95,,0.72,5.74,6.2,99.31,98.14,93.53,79.13,6.07,-0.93,-5.3,-6.83,-5.56,-12.69,99.31,100
1342,24821928,1485621,COC(=O)CCC1=NN2C=CC(=C(C2=N1)C#N)C3=CC=C(C=C3)Cl,Active,79,,,,5.22,,2.71,,0.22,3.35,7.33,99.33,97.93,94.18,90.7,82.79,67.32,9.13,-3.9,-5.29,-8.57,99.33,100
1343,24822007,2768250,C1CC1C(=O)NC2=CC=C(C=C2)N3C=CC=C3,Inactive,0,,,,,,,,,,,24.61,22.58,11.5,2.64,-2.09,2.65,0.75,0.14,-0.81,-8.65,24.61,100
1344,24822093,3744539,CC1=CC2=C(C=C1)NC(=O)C3=C(O2)C=CC(=C3)NC(=O)CCl,Inactive,0,,,,,,,,,,,3.7,4.18,-1.01,-1.22,0.5,-9.24,-6.08,2.25,-0.98,-3.89,4.18,50
1345,24822133,2767088,COC(=O)CC(=O)N1CCN(CC1)C2=CC(=C(C=C2)Cl)Cl,Active,63,,,,74.83,,44.36,,2.87,4.2,6.49,97.41,62.06,9.14,-4.26,-4.3,-2.01,-1.17,-8.1,-12.78,-7.74,97.41,100
1346,24822219,2765338,CCCCOC1CC(N(O1)C)C2=CC(=C(C=C2)OCC3=CC=C(C=C3)OC)OC,Inactive,0,,,,,,,,,,,7.75,5.24,8.67,1.64,0.27,-20.73,1.2,-0.03,-0.75,-1.42,8.67,25
1347,24822250,1491140,COC(C1=NC(=NC=C1)C2=CC=C(C=C2)OC(=O)C3=CC=CS3)OC,Inactive,0,,,,,,,,,,,-10.86,1.33,9.27,-3.69,-8.98,-0.79,-14.85,-7.39,-6.09,-3.58,9.27,25
1348,24822279,1477551,C1=CC=C2C(=C1)C=C(C=N2)/C=C/C(=O)NNC3=CC=C(C=C3)F,Inactive,0,,,,,,,,,,,-11.04,-7.43,-6.53,-10.06,-10.31,-3.57,-7.23,-13.98,-9.36,-32.89,-3.57,3.13
1349,24822291,2766387,C1=CC=C(C=C1)OC2=CC=C(C=C2)N=CC3=CNNC3=O,Inactive,0,,,,,,,,,,,-7.44,0.65,-7.75,-8.63,-3.21,-15.16,-8.7,-2.87,-7.57,-9.59,0.65,50
1350,24822352,1478299,CCOC1=C(C(=O)N(N1)C2=CC=CC=C2)C=NC3=CC=C(C=C3)OC,Inactive,0,,,,,,,,,,,2.32,-7.64,-2.07,2.66,1.99,-2.29,-4.77,-18.7,-6.98,-5.11,2.66,12.5
1351,24822366,16195261,COC1=CC=C(C=C1)C2=NNC(=C2)C3CCN(CC3)CC4=CC(=CC=C4)C(F)(F)F,Active,75,,,,24.94,,13.3,,0.87,3.49,6.12,99.74,99.63,97.79,38.93,18.14,-0.15,-3.58,5.41,5.41,1.99,99.74,100
1352,24822621,3155294,COC1=C(C=C2C(=C1)C(=C(N2)Cl)[N+](=O)[O-])OC,Inactive,0,,,,,,,,,,,1.76,-8.77,-2.92,-11.39,-10.07,-13.98,-9.26,-8.28,-11.87,-4.53,1.76,100
1353,24823150,9602691,CC1=CC=C(C=C1)C(=O)N/N=C/C=C/C2=CC=CC=C2,Inactive,0,,,,,,,,,,,-6.65,-42.09,-3.88,-9.02,0.48,-11.48,-11,-2.39,-0.59,-8.9,0.48,6.25
1354,24823184,4317171,C1=CC=C(C=C1)N=C2C3=C(C=C(C=C3[N+](=O)[O-])[N+](=O)[O-])N(N2C4=CC=CC=C4)O,Active,77,,,,10.35,,8.32,,0.59,10.07,2.54,98.95,100.1,99.89,98.36,5.3,-0.2,5.81,2.59,-3.08,-0.77,100.1,50
1355,24823212,1246365,C1CCN(C1)C(=S)SCC(=O)C2=C(C(=CC(=C2)Br)Br)O,Active,64,,,,45.42,,41.2,,4264.77,22.54,10.78,99.23,98.74,-5.06,-7.99,-13.82,-15.88,-12.3,-4.04,-12.44,-8.57,99.23,100
1356,24823724,16195554,C1=CC=C(C=C1)C2=C/C(=C\C3=CC=C(O3)C4=CC=C(C=C4)[N+](=O)[O-])/C(=O)N2C5=CC=C(C=C5)C(=O)O,Active,61,,,>,100,,49.79,,2.01,5.42,5.52,89.77,51.99,-5.49,2.89,8.72,-0.68,-3.79,0.9,-2.58,-3.21,89.77,100
1357,24823739,16195557,CCN1C2=C(C=C(C=C2)CN3CCN(CC3)CC4=C(C=CC(=C4)OC)O)C5=CC=CC=C51.C(=O)(C(=O)O)O,Active,74,,,,23.4,,17.17,,2.45,7.11,10.3,99.39,98.52,93.5,9.52,-3.01,-3.38,-3.71,-25.95,-4.9,-10.7,99.39,100
1358,24823813,9637100,CCOC1=C(C=CC(=C1)/C=N/NC2=NC(=NC(=N2)NC3=CC=CC=C3)N4CCCCC4)OCC(=O)O,Active,72,,,,27.56,,20.51,,1.25,7.44,3.54,96.37,96.01,81.43,2.25,-0.38,3.08,1.94,-0.02,-1.34,-7.54,96.37,100
1359,24824046,16195640,CCC(C1=CC=CC=C1)C(=O)NCCC[C@H]2CN3[C@H](CN=C3N2CCC4=CC=CC(=C4)C)CC5=CC=C(C=C5)O,Active,68,,,,43.15,,30.45,,1.79,6.3,4.53,99.92,95.17,22.69,-6.41,-7.8,0.1,-4.73,-2.81,-3.31,-4,99.92,100
1360,24824140,5380406,C1=CC=C2C(=C1)C3=C(C=C(C=C3)O)OC2=O,Inactive,0,,,,,,,,,,,-2.92,0.76,2.01,-0.15,-3.1,1.76,-5.89,-4.28,-0.3,-9.63,2.01,25
1361,24824230,16195670,CN(CCCC[C@H](CNCC1=CC=C(C=C1)OC)N2C[C@@H](N(C(=O)C2=O)CCC3=CC(=C(C=C3)Cl)Cl)C4=CC=CC=C4)CC5=CC=C(C=C5)OC,Active,76,,,,14.03,,10.55,,0.67,7.69,3.29,100,100.1,100.1,78.72,1.73,4.47,4.47,2.1,0.32,-6.49,100.1,25
1362,24824290,16195701,COC1=CC=C(C=C1)C[C@H]2CN3[C@@H](CN=C3N2CCNC(=O)CCC4CCCCC4)CC5=CC=CC=C5,Active,72,,,,24.31,,22.39,>,9999,26.67,4.03,100.09,100.14,95,-1.23,-6.55,-0.96,1.63,-6.48,-6.26,0.92,100.14,50
1363,24824368,1489418,C1=CC=C2C(=C1)C(=NN=N2)NC3=CC=C(C=C3)C(F)(F)F,Active,61,,,,55.25,,48.84,,1312.79,17.82,10.13,91.72,60.3,-9.17,-6.03,-17.58,-2.72,-4.25,-3.45,-4.46,-16.29,91.72,100
1364,24824406,459531,C1=CN=CC(=C1C(=O)O)N,Inactive,0,,,,,,,,,,,-4.85,-3.49,16.83,-10.27,-5.56,-12.48,-8.58,-6.76,-3.22,-13.07,16.83,25
1365,24824449,2769293,C1=CC=C(C(=C1)C(=O)NNC2=C(C=C(C=C2)Cl)Cl)C(=O)O,Inactive,0,,,,,,,,,,,0.63,0.57,-0.64,-7.97,6.79,0.52,-1.33,4.07,2.75,0.96,6.79,6.25
1366,24824452,1487343,C1=CC(=CC=C1C2=NC3=C(C=CC(=C3)Cl)C(=O)N2O)[N+](=O)[O-],Inactive,0,,,,,,,,,,,21.43,-11.19,1.53,-0.76,6.99,-2.77,1.17,4.49,1.32,4.38,21.43,100
1367,24824466,3818657,CC1=CC(=C(C=C1)C)NNC(=S)N,Active,74,,,,29.24,,16.02,,1.53,3.65,8.65,100.13,97.43,84.95,27.08,9.59,-6.42,0.86,-22.41,1.76,0.07,100.13,100
1368,24824507,3798347,C1=CC=[N+](C(=C1)SCC(=C(C#N)C#N)N)[O-],Active,63,,,,49.03,,43.63,,895.96,18.84,5.45,99.93,92.87,-1.99,-1.95,4.48,-9.37,-3.08,2.26,-5.49,-8.81,99.93,100
1369,24824520,1481758,C1=CC(=CC=C1C2=C3N=CC(=C(N3N=C2)N)C(=O)O)Cl,Active,55,,,,99.85,,64.01,,3.78,4.94,5.4,90.05,22.8,1.11,-3.97,-9.97,-2.73,-5.41,-2.91,-5.56,-6.47,90.05,100
1370,24824536,1477188,C1=CC(=CC=C1C2=NOC(=C2)CNC(=O)CCl)Cl,Active,80,,,>,100,,0.35,,0.11,0.41,5.55,87.08,85.83,85.08,82.8,76.43,75.88,59.69,67.32,41.89,45.44,87.08,100
1371,24824574,5831999,C1=CC(=CC=C1N/C(=C/[N+](=O)[O-])/NN)Cl,Inactive,0,,,,,,,,,,,24.19,-1.58,-3.73,-4.21,-17.21,-6.79,-5.73,-5.55,-4.34,-5.96,24.19,100
1372,24824595,1474929,CN1C2=CC=CC=C2C3=C1SC(=C3)C(=O)NNC(=O)CCl,Active,79,,,,8.11,,4.41,,0.31,3.61,6.35,99.44,96.24,92.23,86.03,80.93,21.25,0.75,-0.99,-5.96,-7.96,99.44,100
1373,24824826,5524326,CC1=C(C=CC(=C1)O)N/C=C/C2=C(C(=NS2)SC)C#N,Active,63,,,,49.65,,44.55,,3080.58,20.28,6.86,97.44,91.23,-7.85,-1.87,-7.41,-2.9,-2.82,-8.1,-3.91,-12.35,97.44,100
1374,24824924,5243999,C1=CC=C2C(=C1)N=C(S2)COC(=O)C3=CC=C(O3)Br,Active,67,,,>,50,,33.5,,1.22,2.95,3,,75.05,32.12,0.39,-0.75,-1.57,3.13,-1.59,2.9,-2.51,75.05,50
1375,24825078,16195863,CC1=CC(=C(C=C1)NC(=O)CN2C=CSC2=N)[N+](=O)[O-].Cl,Active,73,,,,34.7,,18.52,,2.43,3.5,11.61,91.84,87.76,76.22,20.52,-5.9,-3.62,-4.3,-5.95,-13.47,-24.7,91.84,100
1376,24825179,3923738,CSCCC1C(=O)N(C(=O)N1)CC(=O)N2C(CC(=N2)C3=CC=C(C=C3)Cl)C4=CC=CO4,Active,76,,,,13.62,,10.9,,7.75,9.83,14.77,99.43,99.46,98.9,79.44,0.43,-37.19,-2.46,-9.21,-8.37,-14.15,99.46,50
1377,24825244,2090922,CCCCCN1C(=O)C2=CC=CC=C2N3C1=NN=C3CCl,Active,80,,,,6.07,,1.36,,0.17,1.47,7.34,95.99,91.07,90.36,86.21,86.32,82.51,55.09,36.41,4.78,1.34,95.99,100
1378,24825369,2424966,CC\1(C2=CC=CC=C2N(/C1=C\C(=O)COC(=O)C3=CC=C(O3)[N+](=O)[O-])C)C,Active,72,,,,30.25,,20.89,,2.19,5.93,8.73,99.92,97.65,74.51,4.3,0.94,-24.51,0.67,2.01,-0.22,-0.66,99.92,100
1379,24825554,2412507,CC1=CC=C(C=C1)CN2C=CSC2=NC(=O)CCl,Active,79,,,,6.73,,2.86,,0.42,2.57,11.56,99.11,88.05,92.13,86.87,84.61,58.44,22.88,-21.83,-2.67,-7.11,99.11,100
1380,24825703,2442993,CCC1=C(SC(=C1)C(=O)NNC(=O)CCl)C,Active,79,,,,7.55,,5.03,,0.31,5.42,5.49,98.2,96.93,94.2,89.93,77.1,6.32,-5.61,-8.35,-1.16,-1.24,98.2,100
1381,24825732,3300645,COC1=C(C=C(C=C1)C2=CN3C=C(C=CC3=N2)[N+](=O)[O-])OC,Active,62,,,>,50,,46.93,,2.8,6.88,5.07,,60.75,1.4,-6.08,-3.62,-3.97,-3.33,-7.61,-1.64,-6.48,60.75,50
1382,24825922,16195933,C1=CC=C(C=C1)C(=O)C2=CC=[N+](C=C2)CC(=O)NC3=CC=C(C=C3)C(F)(F)F.[Cl-],Active,71,,,,26.75,,23.44,,190.82,16.61,4.28,93.36,96.11,74.49,-2.57,-3.51,-3.35,-2.05,-1.83,-2.64,-6.52,96.11,50
1383,24825943,2366966,CN(C1CCCCC1)C(=O)COC(=O)C2=C(C=C(C=C2)[N+](=O)[O-])Cl,Active,73,,,>,100,,19.23,,2.25,1.87,7.83,88.99,78.78,64.62,40.19,-0.84,-4.61,-5.57,-5.17,-5.54,-2.08,88.99,100
1384,24826062,2095736,COC1=C(C=C2CN(CCC2=C1)CCC(=O)C3=CC=C(C=C3)Br)OC,Active,71,,,,26.72,,23.44,,396.28,16.76,8.16,100.08,99.8,74.65,-3.77,-11.97,-12.22,-7.29,-7.82,-9.41,-4.8,100.08,100
1385,24826102,5162414,C1CCC(CC1)NC(=S)NN=C2CCN(CC2)CC3=CC=CC=C3,Active,63,,,,47.03,,43.56,>,9999,28.62,9.09,98.32,98.11,-4.38,-2.78,-20.19,-6.82,-4.09,-5.4,-9.24,-6.78,98.32,100
1386,24826203,6382919,CC\1CCCC/C1=N\NC(=S)NCCC2=CC=CC=C2,Active,64,,,,47.93,,42.54,,907.85,18.43,9.39,95.83,95.16,-0.91,-2.69,-12.72,-3.27,-3.48,-6.05,-7.44,-20.07,95.83,100
1387,24826375,135439850,C1C(=C(C(=N)N1NC(=O)C2=CNC3=CC=CC=C32)C4=NC5=CC=CC=C5N4)O,Active,70,,,,40.06,,26.75,,2.65,5.44,11.29,93.69,93.16,41.89,-5.87,-9.91,-10.21,-18.57,-11.19,-11.87,-9.84,93.69,100
1388,24826569,16195959,COC1=CC=C(C=C1)N2C3=[N+](C=C2C4=CC=C(C=C4)Cl)C5=CC=CC=C5CC3.[Br-],Active,73,,,,26.78,,19.41,,1.37,6.82,5.08,99.91,97.52,84.98,4.68,-1.18,-0.47,-13.97,-0.38,1.15,-1.73,99.91,100
1389,24826574,6285300,C1C(=NC2=CC=CC=C2NC1=O)/C=C/C3=CC=C(C=C3)Cl,Active,76,,,,14.23,,12.23,,20.42,14.51,5.17,99.31,98.6,96.36,57.75,-2.32,12.05,-1.44,1.58,3.49,-5.58,99.31,100
1390,24826600,9689367,C/C(=N\NC(=S)N)/C1C2C3CC4C2C5C1C3C4C5,Active,72,,,,31.83,,22.15,,2.01,6.06,7.91,95.42,85.73,68.44,-0.18,-3.2,-9.1,-2,-9.19,-0.96,-10.08,95.42,100
1391,24826632,9641704,CCOC1=CC=C(C=C1)OCC2=CC=C(C=C2)C(=O)N/N=C(\C)/C3=CC=CC=N3,Inactive,0,,,,,,,,,,,1.73,-2.56,2.57,2.4,-8.69,-1.41,-28.73,-9.24,-5.03,-12.18,2.57,25
1392,24826644,2402596,CC(=O)C1=CC=C(C=C1)N2CCN(CC2)C(=S)NCCCSC,Active,66,,,,49.68,,37.16,,3.28,7.56,5.79,98.54,90.45,4.73,0.83,-5.83,-2.87,-9.99,-8.03,2.44,-7.29,98.54,100
1393,24826682,2319244,C1=CC=C(C=C1)C2=NN(C=C2NC(=O)CCl)C3=CC=CC=C3,Active,80,,,,1.23,,0.5,,0.04,2.47,6.47,99.83,99.11,96.72,92.92,90.46,88.86,87.43,78.77,35.18,4.09,99.83,100
1394,24826686,135439855,CC1(CC(=C(C(=O)C1)N=NC2=NC3=C(S2)C=C(C=C3)OC)O)C,Active,75,,,,17.23,,13.52,,3.89,9.06,8.86,98.77,99.39,99.3,32.92,-1.19,-13.96,-9.51,-11.82,-5.81,-12.84,99.39,50
1395,24826709,16195967,CC1=CC(=C(N1C2=CC=CC=C2F)C)/C(=C(/C(=S)NC3=CC(=CC=C3)OC)\[N+]4=CC=C(C=C4)N(C)C)/[O-],Active,53,,,,90.34,,70.18,,6.67,8.7,5.2,95.61,4.98,-0.56,-5.03,-6.5,-4.55,-4.15,-5.49,-5.72,-6.9,95.61,100
1396,24826842,5062275,CC1=CC=C(C=C1)N2C(C(C2=O)(F)F)C3=CC=CC=C3,Active,79,,,,7.9,,4.61,,0.3,4.09,5.9,92.55,93.17,93.03,89.43,79.26,16.13,-0.74,-1.38,-6.02,-2.06,93.17,50
1397,24826900,4311334,CCOC(=O)CCCNC(=O)COC(=O)C1=CC(=C(S1)Br)Br,Active,73,,,>,100,,18.46,,2.77,2.75,12.09,89.37,85.12,73.01,27.85,-6.03,-4.56,0.91,-9.26,-7.18,-26.41,89.37,100
1398,24827283,9626893,CC(C)NC(=S)N/N=C(\C)/CCC1=CC2=C(C=C1)OCO2,Active,42,,,>,100,,98.4,,956.72,17.03,7,56.84,-1.5,2.66,-1.89,0.64,-6.56,-7.09,-15.61,-3.02,-5.71,56.84,100
1399,24827324,2342136,CC1=NC2=C(S1)C=C(C=C2)NC(=O)C3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-],Active,66,,,>,100,,35.68,,9.39,1.29,14.13,64.74,56.2,66.42,11.63,-2.35,-6.74,-5.7,-8.91,-7,-7.83,66.42,25
1400,24827370,883995,CC1=CC=C(C=C1)C(=O)/C=C/C(=O)C2=CC=C(C=C2)C,Active,79,,,,5.87,,4.34,,0.05,7.26,0.89,100.01,100.07,99.99,100.01,93.44,8.44,1.72,-1.45,1.01,0.64,100.07,50
1401,24827383,2476998,C1CCC2(CC1)C3=C(CCCC3)N4C(=NC=N4)N2,Active,69,,,,44.27,,29.84,,2.8,5.57,8.34,97.78,94.47,27.33,-0.93,-3.34,-16.24,-4.27,-6.2,-12.28,-8.17,97.78,100
1402,24827410,5179339,C1CCCC(=NNC(=S)NCCC2=CC=CC=C2)CC1,Active,62,,,,50.14,,45.76,>,9999,24.04,5.47,95.43,89.39,-11.02,-2.88,-2.09,2.03,-1.42,-2.71,-6.2,-5.71,95.43,100
1403,24827484,16196006,C[N+]1=C(C=C(C=C1C2=CC=CC=C2)CCCCC3=CC(=[N+](C(=C3)C4=CC=CC=C4)C)C5=CC=CC=C5)C6=CC=CC=C6.[O-]Cl(=O)(=O)=O,Active,71,,,,28.27,,24.83,,45.33,16.93,3.51,98.8,98.91,52.96,-3.27,2.6,-0.28,2.31,-5.17,-5.22,-4.36,98.91,50
1404,24827565,2465947,CN(CC1=CC=C(S1)Cl)C(=O)CCl,Active,80,,,,1.73,,1.54,,58.18,18.1,15.09,99.71,98.3,96.32,93.06,90.74,80.88,57.8,-35.39,-2.24,-6.97,99.71,100
1405,24827750,10864994,CCN\1C2=C(C=CC(=C2)C3=CC=CC=C3)O/C1=C\C=C\C4=[N+](C5=C(O4)C=CC(=C5)C6=CC=CC=C6)CC.CCOS(=O)(=O)[O-],Active,78,,,,6.37,,5.81,,6871.85,23.7,11.12,96.78,98.04,98.84,99.39,85.15,-10.46,-21.35,-7.9,-14.51,-11.61,99.39,12.5
1406,24827790,717704,C1=CC=C(C(=C1)NC(=S)NN)Cl,Active,47,,,,92.98,,83.82,,3562.18,21.19,6.23,97.68,-0.81,5.01,-4.25,-2.56,2.44,-8.21,-5.61,-0.3,-12.46,97.68,100
1407,24827807,2442307,CC1=CC(=C(N1CCC2=CC=C(C=C2)Cl)C)C(=O)CCl,Active,79,,,,9.41,,3.95,,0.36,2.53,7.11,98.61,96.05,93.53,90.24,76.57,38.24,5.34,-2.66,-15.49,-7.01,98.61,100
1408,24827876,9655659,CC1=CC(=NC2=CC=CC=C12)N/N=C\3/CCCC4=CC=CC=C43,Active,64,,,,45.59,,41.87,>,9999,25.79,4.83,99.98,99.05,-2.22,-1.28,3.38,-6.13,-3.43,-10.16,-1.45,-3.76,99.98,100
1409,24827916,4352306,C1CCC2C(C1)C(=O)N(C2=O)CCC(=O)NC3=NC(=CS3)C4=CC(=C(C=C4)F)F,Inactive,0,,,,,,,,,,,4.25,2.04,-0.99,-2.71,-2.01,3.67,-12.58,-6.98,-2.05,-4.84,4.25,100
1410,24828225,2120347,CCCC1=NN(C(=C1)NC(=O)CCl)C2=CC=CC=C2,Active,79,,,,3.32,,2.93,,97.06,17.99,7.85,98.95,96.22,93.32,89.59,85.63,75.62,-8.89,-4.15,-1.87,-4.22,98.95,100
1411,24828337,4780494,C1=CC=C2C(=C1)C(=NC(=N2)C3=CN=CC=C3)OC4=C(N=CC=C4)[N+](=O)[O-],Active,80,,,,3.87,,0.82,,0.12,1.41,8.67,99.46,99.43,99.27,92.52,93.93,88.38,82.12,30.94,38.13,9.87,99.46,100
1412,24828535,16196078,CN1CCN(CC1)C(=O)/C=C/C2=CN(N=C2C3=CC4=C(C=C3)OCCO4)C5=CC=CC=C5.Cl,Active,41,,,>,100,>,100,,2.94,2.79,1.89,47.8,11.38,2.63,0.94,-3,0.68,2.79,0.08,3.13,-0.48,47.8,100
1413,24828550,16240122,C/C(=N\N(CC1=CC=CC=C1)C2=CC=CC=C2)/C3=CC=NC=C3.OP(=O)(O)O,Inactive,0,,,,,,,,,,,4.7,2.8,2.12,-2.31,-1.7,-4.03,-2.93,1.4,-1.16,-4.11,4.7,100
1414,24828553,16196081,CC(=O)C1=CC=C(C=C1)N2C=C([N+]3=C2SCCC3)C4=CC=C(C=C4)C(C)(C)C.[Br-],Active,72,,,,26.9,,20.31,,1.42,7.83,3.68,99.93,99.16,83.56,2.13,3.21,9.13,2.03,0.94,-0.92,2.88,99.93,100
1415,24828558,5341738,CN1C2=CC=CC=C2N=C1/C=N/NC3=NC4=CC=CC=C4N3,Active,56,,,,79.85,,61.78,,11.49,8.56,7.85,98.29,14.09,-4.19,0.48,5.78,-3.7,-1,-18.96,-7.62,-3.07,98.29,100
1416,24828594,135439902,C1=CC=C(C=C1)/C(=N\NC2=CC=C(C=C2)Br)/N=NC3=NNN=N3,Active,75,,,,23.29,,14.36,,2.67,4.54,18.58,100.44,99.75,91.43,35.46,-1.15,-1.09,3.29,-6.84,-3.54,-51.74,100.44,100
1417,24828753,2642265,CCNC(=S)NN=C1C2=CC=CC=C2C3=CC=CC=C31,Active,76,,,>,25,,11,,0.96,5.77,7.97,,,89.53,68.31,1.89,-13.42,-0.98,-8.23,-3.97,-4.39,89.53,25
1418,24828775,4840816,CCCC(C1=CC=CC=C1)NCC(COC2=CC=C(C=C2)C3=CC=CC=C3)O,Active,75,,,,14.74,,12.76,,14.3,15.24,2.3,99.99,99.95,99.98,42.21,-0.68,-4.08,-1.39,-2.76,-3.56,-1.72,99.99,100
1419,24828823,2332627,CCOC1=C(C=CC=N1)C(=O)OCC(=O)N2CCC3=CC=CC=C32,Active,70,,,>,100,,25.52,,2.29,2.79,7.4,88.96,81.26,55.75,2.66,4.28,-10.83,-4.88,-2.07,-4.64,-3.33,88.96,100
1420,24829034,2329736,CCN(CC)CCNC(=O)C1=CC=C(C=C1)NC(=O)C2=CN(N=C2C3=CC=CS3)C4=CC=CC=C4,Active,71,,,,27.63,,24.36,,262.62,17.4,4.89,100.21,99.43,61.16,-3.48,-1.89,-8.38,-3.4,-2.37,-4.76,-8.07,100.21,100
1421,24829081,607111,C1=CC=C(C=C1)C(=NNC(=O)CCl)C2=CC=CC=C2,Active,80,,,,2.09,,1.32,,0.1,4.79,7.33,99.67,99.27,98.11,95.04,91.36,83.55,71.25,4.52,-5.95,-7.35,99.67,100
1422,24829193,2123990,C1CN(CCN1C2=CC=CC=C2)C(=O)COC(=O)C3=CC(=C(N=C3)Cl)Cl,Active,70,,,,58.14,,26.99,,1.24,2.86,3.83,95.03,82.06,48.61,4.02,2,-2.68,-1.74,-1.54,-0.43,5.75,95.03,100
